seafarer_id,first_name,last_name,nationality,rank_code,date_of_birth,contract_start_date,contract_end_date
S001,Nikos,Papadopoulos,Greek,MSTR,1972-03-15,2024-01-10,2024-07-10
S002,Dmitri,Volkov,Russian,CHOFF,1980-06-22,2024-02-01,2024-08-01
S003,Rajesh,Kumar,Indian,CHENG,1975-11-08,2024-01-15,2024-07-15
S004,Jose,Santos,Filipino,2ENG,1985-04-30,2024-03-01,2024-09-01
S005,Wei,Zhang,Chinese,MSTR,1970-09-12,2024-01-20,2024-07-20
S006,Ivan,Petrenko,Ukrainian,CHOFF,1982-07-17,2024-02-15,2024-08-15
S007,Arjun,Singh,Indian,CHENG,1978-12-03,2024-01-25,2024-07-25
S008,Marco,Rossi,Italian,2ENG,1987-05-11,2024-03-10,2024-09-10
S009,Alexandros,Georgiou,Greek,MSTR,1968-02-28,2024-01-05,2024-07-05
S010,Sergei,Morozov,Russian,CHOFF,1983-08-19,2024-02-20,2024-08-20
S011,Pradeep,Nair,Indian,CHENG,1976-10-25,2024-01-30,2024-07-30
S012,Eduardo,Reyes,Filipino,2ENG,1989-03-07,2024-03-15,2024-09-15
S013,Yusuf,Demir,Turkish,MSTR,1973-06-14,2024-01-12,2024-07-12
S014,Pavel,Kovalenko,Ukrainian,CHOFF,1981-09-21,2024-02-05,2024-08-05
S015,Vikram,Sharma,Indian,CHENG,1979-01-16,2024-01-18,2024-07-18
S016,Roberto,Cruz,Filipino,2ENG,1986-07-23,2024-03-05,2024-09-05
S017,Konstantinos,Makris,Greek,MSTR,1971-04-09,2024-01-08,2024-07-08
S018,Alexei,Sokolov,Russian,CHOFF,1984-11-30,2024-02-25,2024-08-25
S019,Suresh,Patel,Indian,CHENG,1977-03-22,2024-02-01,2024-08-01
S020,Ronaldo,Dela Cruz,Filipino,2ENG,1990-08-04,2024-03-20,2024-09-20
S021,Carlos,Mendoza,Filipino,ABSEAMAN,1992-05-18,2024-02-10,2024-08-10
S022,Taras,Bondarenko,Ukrainian,ABSEAMAN,1993-09-27,2024-02-12,2024-08-12
S023,Mohammed,Al-Rashid,Egyptian,ABSEAMAN,1991-01-14,2024-02-08,2024-08-08
S024,Bongani,Dlamini,South African,OS,1995-06-03,2024-03-01,2024-09-01
S025,Juan,Reyes,Filipino,OS,1996-11-20,2024-03-05,2024-09-05
S026,Andrei,Popescu,Romanian,COOK,1988-04-15,2024-02-18,2024-08-18
S027,Sanjay,Mishra,Indian,ABSEAMAN,1993-07-08,2024-02-22,2024-08-22
S028,Petros,Ioannou,Greek,ABSEAMAN,1994-12-11,2024-02-14,2024-08-14
S029,Victor,Morales,Filipino,OS,1997-03-29,2024-03-10,2024-09-10
S030,Gheorghe,Ionescu,Romanian,COOK,1985-08-06,2024-02-28,2024-08-28
S031,Rizal,Bautista,Filipino,ABSEAMAN,1991-10-17,2024-02-16,2024-08-16
S032,Bogdan,Shevchenko,Ukrainian,OS,1996-05-24,2024-03-08,2024-09-08
S033,Hamid,Mansouri,Iranian,COOK,1987-01-31,2024-03-02,2024-09-02
S034,Luis,Gonzalez,Filipino,ABSEAMAN,1992-09-13,2024-02-20,2024-08-20
S035,Stefan,Draghici,Romanian,OS,1995-04-07,2024-03-12,2024-09-12
S036,George,Papadimitriou,Greek,MSTR,1969-07-16,2024-01-22,2024-07-22
S037,Nikolai,Fedorov,Russian,CHOFF,1981-02-03,2024-02-03,2024-08-03
S038,Anand,Krishnamurthy,Indian,CHENG,1974-06-28,2024-01-28,2024-07-28
S039,Mario,Dela Torre,Filipino,2ENG,1988-11-09,2024-03-18,2024-09-18
S040,Oleksii,Kravchenko,Ukrainian,ABSEAMAN,1993-03-05,2024-02-24,2024-08-24
S041,Thabo,Nkosi,South African,OS,1997-08-22,2024-03-15,2024-09-15
S042,Florin,Stanescu,Romanian,COOK,1986-05-19,2024-03-03,2024-09-03
S043,Emmanuel,Reyes,Filipino,ABSEAMAN,1994-10-01,2024-02-26,2024-08-26
S044,Vitali,Karpenko,Ukrainian,OS,1995-01-18,2024-03-07,2024-09-07
S045,Nasser,Ibrahim,Egyptian,COOK,1984-09-25,2024-03-04,2024-09-04
S046,Angelo,Fernandez,Filipino,ABSEAMAN,1992-04-12,2024-02-11,2024-08-11
S047,Vasile,Munteanu,Romanian,OS,1996-07-30,2024-03-09,2024-09-09
S048,Babajide,Adeleke,Nigerian,COOK,1989-12-23,2024-03-06,2024-09-06
S049,Jerome,Aquino,Filipino,ABSEAMAN,1993-06-16,2024-02-13,2024-08-13
S050,Mykola,Hrytsenko,Ukrainian,2ENG,1986-02-07,2024-03-22,2024-09-22
